dataset_id,object_id,class_name,start_frame,end_frame,total_frames,mean_confidence,start_cx,start_cy,end_cx,end_cy,displacement,path_length,mean_speed,max_speed,static_ratio,is_static,filter_reason
cao_qiao_001,624,car,7431,8078,648,0.738949,2155.407837,2123.884460,723.033875,39.645066,2528.981815,3342.936657,5.166826,7.984157,0.000000,False,
cao_qiao_001,625,car,7434,7434,1,0.313494,2183.895996,1662.666504,2183.895996,1662.666504,0.000000,0.000000,0.000000,0.000000,1.000000,False,
cao_qiao_001,632,car,7492,7773,282,0.742582,2959.034180,85.745124,2302.955322,295.726196,688.862481,787.359583,2.801991,22.945912,0.192171,False,
cao_qiao_001,633,car,7510,8050,541,0.669263,274.988922,51.030572,1537.405853,2112.498535,2417.301527,2519.643070,4.666006,11.277388,0.000000,False,
cao_qiao_001,646,van,7584,8592,976,0.534921,421.981934,68.342485,3379.702271,134.789963,2958.466640,4820.244241,4.804535,27.325470,0.058462,False,
cao_qiao_001,648,car,7602,8119,518,0.709719,291.869019,54.703960,1530.957031,2130.031006,2417.089459,2509.143505,4.853276,10.830108,0.005803,False,
cao_qiao_001,666,car,7718,8292,575,0.758449,2113.976929,2120.556458,709.434753,39.919483,2510.336420,3353.088196,5.841617,8.768679,0.000000,False,
cao_qiao_001,673,car,7756,8100,345,0.707728,2176.173096,2119.722290,3386.849243,113.833303,2342.931361,2371.840293,6.894885,9.044185,0.000000,False,
cao_qiao_001,683,car,7861,7944,81,0.510078,2877.158936,99.190536,2573.231750,249.555161,339.088859,348.391458,4.207970,9.371360,0.012500,False,
cao_qiao_001,695,car,7930,8277,348,0.626276,330.979401,61.606125,1607.697510,2130.209961,2430.870412,2482.524934,7.154251,15.793519,0.005764,False,
cao_qiao_001,709,car,7993,8634,642,0.726617,2986.988220,106.406204,1604.119781,2137.129700,2456.860402,3259.350597,5.084790,11.105254,0.004680,False,
cao_qiao_001,711,car,8041,8409,287,0.566071,2194.173019,351.111785,727.752075,36.442814,1499.802302,1556.992774,4.267055,6.962271,0.000000,False,
cao_qiao_001,713,car,8064,8065,2,0.321784,1296.010315,1752.015381,1296.044067,1752.056915,0.053519,0.053519,0.053519,0.053519,1.000000,False,
cao_qiao_001,718,car,8054,8397,344,0.729341,278.613091,61.419922,1558.754822,2133.369385,2435.515844,2498.114023,7.283131,10.747732,0.000000,False,
cao_qiao_001,727,car,8201,8710,510,0.758125,2987.278687,96.108284,698.579590,43.288528,2289.308516,2452.584028,4.818436,7.836650,0.000000,False,
cao_qiao_001,735,car,8273,8709,437,0.703773,291.750488,54.131855,1544.466766,2136.552368,2430.179678,2500.588363,5.735294,11.332180,0.000000,False,
cao_qiao_001,780,car,8695,8696,2,0.324169,2847.205811,949.580872,2849.598022,942.733704,7.253026,7.253026,7.253026,7.253026,0.000000,False,
cao_qiao_001,787,car,8723,9021,299,0.737645,2123.586121,2119.407471,3333.634094,131.487043,2327.239507,2342.495647,7.860724,11.173053,0.000000,False,
cao_qiao_001,793,car,8792,8921,23,0.365792,1359.208130,752.763809,1039.813446,980.056610,392.014007,398.606150,3.281142,4.986029,0.045455,False,
cao_qiao_001,802,van,8878,9021,144,0.678357,309.391422,64.767555,1018.471069,875.514954,1077.081840,1102.829335,7.712093,11.629454,0.000000,False,
cao_qiao_001,100021,pedestrian,0,6,7,0.523450,1435.000000,460.500000,1434.937799,460.346965,0.165193,1.786719,0.297787,0.499950,1.000000,False,
cao_qiao_001,100022,motor,0,517,444,0.543389,2736.500000,207.000000,1533.819109,2018.664932,2174.527799,2775.428895,5.310891,7.387821,0.000000,False,
cao_qiao_001,100023,people,0,92,93,0.518724,1288.000000,363.500000,1519.000000,349.500000,231.423854,236.048419,2.565744,7.566373,0.054348,False,
cao_qiao_001,100024,motor,0,304,68,0.527050,2480.000000,1687.000000,2896.260555,843.438637,940.674557,943.028901,3.070933,4.351650,0.014925,False,
cao_qiao_001,100025,tricycle,0,107,45,0.468721,1279.500000,364.500000,1547.941795,350.656657,268.798503,269.818502,2.481393,3.406061,0.000000,False,
cao_qiao_001,100026,pedestrian,0,131,77,0.478828,1505.000000,1699.500000,1503.053110,1696.439514,3.627252,22.706695,0.230332,0.589533,1.000000,False,
cao_qiao_001,100028,pedestrian,1,6,5,0.456661,1433.000000,476.000000,1432.911691,476.000999,0.088315,1.852797,0.342717,0.499950,1.000000,False,
cao_qiao_001,100032,motor,45,183,81,0.545598,1035.948561,1093.978313,1190.843676,1402.291410,345.035452,349.130321,2.314406,3.224275,0.000000,False,
cao_qiao_001,100035,motor,118,214,43,0.429435,2282.201081,2002.001192,2488.500000,1638.500000,417.962152,418.430965,4.431572,7.644026,0.000000,False,
